aʾa[unmng]V/i	a-a	rr	a·a
mu[crush]V/t	mu₁₁-mu₁₁	RR	mu·mu
mu[crush]V/t	mu₃-mu₃	RR	mu·mu
mu[crush]V/t	mu₃-mu₃	RR	mu·mu
mu[grow]V/i	ma₈-ma₈	rr	ma·ma
mu[grow]V/i	mu-mu	RR	mu·mu
mu[grow]V/i	mu₂-mu₂	RR	mu·mu
mu[grow]V/i	mu₂-mu₂-mu₂	RRR	mu·mu·mu
mu[grow]V/i	mu₂-mu₂	RR	mu·mu
mu[grow]V/i	mu₂-mu₂	RR	mu·mu
mud[create]V/t	mud-mud	RR	mud·mud
mud[scared]V/i	mud-mud	RR	mud·mud
mur[cvve]V/t	mur-mur	RR	mur·mur
mur[dress]V/i	mu-mu	rr	mu·mu
mur[dress]V/i	mur₁₀-mur₁₀	RR	mur·mur
mur[dress]V/i	mur₁₀-mu₁₀	Rr	mur·mu
mur[dress]V/i	mu₂-mu₂	rr	mu·mu
muš[curdle?]V/i	muš₃-muš₃	RR	muš·muš
naŋ[drink]V/t	na-na	rr	na·na
naŋ[drink]V/t	na₈-na₈	rr	na·na
naŋ[drink]V/t	na₈-na₈	rr	na·na
niŋin[encircle]V/t	ne-ne	rr	ne·ne
niŋin[encircle]V/t	ni-ni	rr	ni·ni
niŋin[encircle]V/t	niŋin-niŋin	RR	niŋin·niŋin
niŋin[encircle]V/t	niŋin₂-niŋin₂	RR	niŋin·niŋin
niŋin[encircle]V/t	niŋin₂-niŋin₂	RR	niŋin·niŋin
niŋin[encircle]V/t	ni₁₀-ni₁₀	rr	ni·ni
niŋin[encircle]V/t	ni₁₀-ni₁₀	rr	ni·ni
niŋin[encircle]V/t	ni₁₀-ni₁₀	rr	ni·ni
niŋin[encircle]V/t	ni₁₀-ni₁₀	rr	ni·ni
nim[crawl?]V/i	nim-nim	RR	nim·nim
nim[high]V/i	nim-nim	RR	nim·nim
nir[winnow]V/t	nir-nir	RR	nir·nir
NU[spin]V/t	NI-NI	rr	NI·NI
NU[spin]V/t	NU-NU	RR	NU·NU
nud[lie]V/i	nu₂-nu₂	rr	nu·nu
pad[break]V/t	pad-pad	RR	pad·pad
pad[find]V/t	pad₃-pad₃	RR	pad·pad
pag[enclose]V/t	pag-pag	RR	pag·pag
paŋ[breathe]V/t	pa-aŋ₂-pa-aŋ₂	R′R′	pa°aŋ·pa°aŋ
pel[defile]V/t	bi-bi	rr	bi·bi
pel[defile]V/t	pel₂-pel₂	RR	pel·pel
pel[defile]V/t	pi-il-pi-il	R′R′	pi°il·pi°il
pel[defile]V/t	pi-pi	rr	pi·pi
peš[anoint]V/t	peš₅-peš₅	RR	peš·peš
peš[comb]V/t	peš₅-peš₅	RR	peš·peš
peš[disappear]V/i	peš₅-peš₅	RR	peš·peš
peš[slice]V/t	peš₅-peš₅	RR	peš·peš
peš[thick]V/i	peš-peš	RR	peš·peš
peš[thick]V/i	peš₁₁-peš₁₁	RR	peš·peš
peš[thick]V/i	peš₅-peš₅	RR	peš·peš
ra[cvve]V/t	ra₂-ra₂	RR	ra·ra
ra[pure]V/i	ra₃-ra₃	RR	ra·ra
ra[pure]V/i	ra₃-ra₃	RR	ra·ra
rah[beat]V/t	ra-ra	rr	ra·ra
rah[beat]V/t	ra-ra-ra	rrr	ra·ra·ra
ri[distant]V/i	ri-ri	RR	ri·ri
ri[impose]V/t	ri-ri	RR	ri·ri
ri[impose]V/t	ru-ru	rr	ru·ru
rig[donate]V/t	rig₈-rig₈	RR	rig·rig
sa[equal]V/t	sa-sa	RR	sa·sa
sa[equal]V/t	sa₂-sa₂	RR	sa·sa
sa[equal]V/t	sa₂-sa₂-sa₂	RRR	sa·sa·sa
sa[equal]V/t	sa₂-sa₂	RR	sa·sa
sa[move]V/i	sa-sa	RR	sa·sa
sa[pay for]V/t	sa-sa	RR	sa·sa
sa[pay for]V/t	sa₁₀-sa₁₀	RR	sa·sa
sa[roast]V/t	sa-sa	RR	sa·sa
sa[roast]V/t	sa-sa-sa	RRR	sa·sa·sa
sa[sting]V/t	sa-sa	RR	sa·sa
sag[beat]V/t	sag₂-sag₂	RR	sag·sag
sag[beat]V/t	sag₃-sag₃	RR	sag·sag
sag[beat]V/t	sag₃-sag₃	RR	sag·sag
sag[good]V/i	sa-sa	rr	sa·sa
sag[good]V/i	sag₃-sag₃	RR	sag·sag
sag[good]V/i	sag₉-sag₉	RR	sag·sag
sag[good]V/i	sa₂-sa₂	rr	sa·sa
sag[good]V/i	sa₇-sa₇	rr	sa·sa
sag[scatter]V/t	sag₃-sag₃	RR	sag·sag
saga[press?]V/t	zag-zag	rr	zag·zag
saga[reap]V/t	sa-sa	rr	sa·sa
saŋ[choose]V/t	saŋ-saŋ	RR	saŋ·saŋ
saŋ[choose]V/t	saŋ₆-saŋ₆	RR	saŋ·saŋ
saŋ[choose]V/t	saŋ₆-saŋ₆	RR	saŋ·saŋ
sal[thin]V/i	sal-sal	RR	sal·sal
sar[run]V/i	sar-sar	RR	sar·sar
sar[sharpen]V/t	sar-sar	RR	sar·sar
sar[shave]V/t	sakar-sakar	rr	sakar·sakar
sar[smoke]V/t	sar-sar	RR	sar·sar
sar[write]V/t	sar-sar	RR	sar·sar
sed[cold]V/i	sed-sed	RR	sed·sed
sed[cold]V/i	sed₄-sed₄	RR	sed·sed
sed[cold]V/i	sed₆-sed₆	RR	sed·sed
sed[cold]V/i	si-si	rr	si·si
ses[bitter]V/i	ses-ses	RR	ses·ses
si[drunk]V/i	si₃-si₃	RR	si·si
si[fill]V/t	si-si	RR	si·si
si[fill]V/t	si-si₈	RR	si·si
sig[burn]V/t	sig₃-sig₃	RR	sig·sig
sig[clear]V/i	sig₉-sig₉	RR	sig·sig
sig[equal]V/t	si₃-si₃	rr	si·si
sig[flatten]V/t	sig₁₀-sig₁₀	RR	sig·sig
sig[impose]V/t	sig₁₀-sig₁₀	RR	sig·sig
sig[impose]V/t	sig₉-sig₉	RR	sig·sig
sig[pluck]V/t	sig₇-sig₇	RR	sig·sig
sig[put]V/t	sig₁₀-sig₁₀	RR	sig·sig
sig[put]V/t	sig₃-sig₃	RR	sig·sig
sig[put]V/t	sig₉-sig₉	RR	sig·sig
sig[put]V/t	sig₉-sig₉-sig₉	RRR	sig·sig·sig
sig[sob]V/i	sig₇-sig₇	RR	sig·sig
sig[sob]V/i	ši-ši	rr	ši·ši
sig[weak]V/i	sig-sig	RR	sig·sig
sig[weak]V/i	sig₃-sig₃	RR	sig·sig
sikil[pure]V/i	sikil-sikil	RR	sikil·sikil
sil[split]V/t	si-il-si-il	R′R′	si°il·si°il
sil[split]V/t	sil-sil	RR	sil·sil
sil[split]V/t	sil₂-sil₂	RR	sil·sil
sil[split]V/t	zal-zal	rr	zal·zal
sil[split]V/t	zi-zi	rr	zi·zi
sil[split]V/t	zil-zil	rr	zil·zil
silaŋ[knead]V/t	silaₓ(LAK636)-silaₓ(LAK636)	rr	sila·sila
silig[mighty]V/i	silig-silig	RR	silig·silig
silim[healthy]V/i	silim-silim	RR	silim·silim
sim[sieve]V/t	sim-sim	RR	sim·sim
sim[smell]V/t	si-im-si-im	R′R′	si°im·si°im
sir[bind]V/t	sir₂-sir₂	RR	sir·sir
sir[bind]V/t	sir₃-sir₃	RR	sir·sir
sir[dense]V/i	sir₂-sir₂	RR	sir·sir
sissig[green]V/i	sig-sig	rr	sig·sig
sissig[green]V/i	sig₇-sig₇	rr	sig·sig
sissig[green]V/i	si₁₂-si₁₂	rr	si·si
su[cvve]V/t	su-su	RR	su·su
su[cvve]V/t	su₃-su₃	RR	su·su
su[red]V/i	su₄-su₄	RR	su·su
su[sink]V/t	su-su	RR	su·su
su[sink]V/t	su-su-su	RRR	su·su·su
su[sink]V/t	su₁₃-su₁₃	RR	su·su
su[sink]V/t	su₃-su₃	RR	su·su
su[sprinkle]V/t	su-su	RR	su·su
su[sprinkle]V/t	su₁₃-su₁₃	RR	su·su
su[sprinkle]V/t	su₂-su₂	RR	su·su
su[sprinkle]V/t	su₃-su₃	RR	su·su
su[sprinkle]V/t	su₃-su₃-su₃	RRR	su·su·su
su[sprinkle]V/t	su₃-su₃	RR	su·su
sub[go]V/i	sub₂-sub₂	RR	sub·sub
sub[rub]V/t	su-ub-su-ub	R′R′	su°ub·su°ub
sub[rub]V/t	sub-sub	RR	sub·sub
sub[rub]V/t	sub₄-sub₄	RR	sub·sub
sub[rub]V/t	sub₄-sub₄	RR	sub·sub
sub[rub]V/t	sub₆-sub₆	RR	sub·sub
sub[rub]V/t	subₓ(ŠID)-subₓ(ŠID)	RR	sub·sub
sub[rub]V/t	su₁₃-su₁₃	rr	su·su
sud[distant]V/i	su-su	rr	su·su
sud[distant]V/i	sud-sud-sud	RRR	sud·sud·sud
sud[distant]V/i	sud₄-sud₄	RR	sud·sud
sud[distant]V/i	su₃-su	rr	su·su
sud[distant]V/i	su₃-su₃	rr	su·su
sud[distant]V/i	su₃-ud-su₃-ud	R′R′	su°ud·su°ud
sud[flick]V/i	su₃-su₃	rr	su·su
sud[grind]V/t	sud₂-sud₂	RR	sud·sud
sud[grind]V/t	sud₂-sud₂	RR	sud·sud
sug[empty]V/i	su-su	rr	su·su
sug[empty]V/i	sug₂-sug₂	RR	sug·sug
sug[empty]V/i	sug₂-sug₂-sug₂	RRR	sug·sug·sug
sug[empty]V/i	sug₄-sug₄	RR	sug·sug
sug[full]V/i	sug₄-sug₄	RR	sug·sug
sug[replace]V/t	sug₄-sug₄	RR	sug·sug
sug[replace]V/t	sug₆-sug₆	RR	sug·sug
sug[replace]V/t	su₂-su₂	rr	su·su
sug[replace]V/t	su₄-su₄	rr	su·su
sug[stand]V/i	sug₂-sug₂	RR	sug·sug
sug[stand]V/i	su₃-su₃	rr	su·su
sug[stand]V/i	šu₄-šu₄	rr	šu·šu
suh[confuse]V/t	suh₃-suh₃	RR	suh·suh
suh[confuse]V/t	suh₃-suh₃-suh₃	RRR	suh·suh·suh
suh[extract]V/t	suh-suh	RR	suh·suh
suh[extract]V/t	suh₃-suh₃	RR	suh·suh
sul[crippled]V/i	su-ul-su-ul	R′R′	su°ul·su°ul
sul[crippled]V/i	sul-sul	RR	sul·sul
sul[hasten]V/i	sul-sul	RR	sul·sul
sul[spoil]V/t	sul-sul	RR	sul·sul
sumun[old]V/i	sumun-sumun	RR	sumun·sumun
sumur[angry]V/i	sumur-sumur	RR	sumur·sumur
sun[authoritative]V/i	bur₂-bur₂	rr	bur·bur
sun[authoritative]V/i	sun₇-sun₇	RR	sun·sun
sun[enter]V/t	sun₅-sun₅	RR	sun·sun
sun[humble]V/i	sun₅-sun₅	RR	sun·sun
sun[humble]V/i	su₃-sun	rR	su·sun
sur[form]V/t	sur-sur	RR	sur·sur
sur[harness]V/t	sur₅-sur₅	RR	sur·sur
sur[harness]V/t	zur-zur	rr	zur·zur
sur[press]V/t	sur-sur	RR	sur·sur
sur[press]V/t	sur₈-sur₈	RR	sur·sur
sur[smile]V/t	zur-zur	rr	zur·zur
sur[spin]V/t	sur-sur	RR	sur·sur
ša[cvve]V/t	ša-ša	RR	ša·ša
ša[cvve]V/t	ša₄-ša₄	RR	ša·ša
ša[cvve]V/t	ša₄-ša₄	RR	ša·ša
ša[snap]V/t	ša-ša	RR	ša·ša
ša[snap]V/t	ša₄-ša₄	RR	ša·ša
ša[snap]V/t	ša₅-ša₅	RR	ša·ša
ša[snap]V/t	ša₅-ša₅	RR	ša·ša
šab[cut]V/t	šab-šab	RR	šab·šab
šanšaša[cvve]V/t	ša-ša	rr	ša·ša
šar[mix]V/t	šar₂-šar₂	RR	šar·šar
šar[slaughter]V/t	šar₂-šar₂	RR	šar·šar
še[call]V/t	sa₄-sa₅	rr	sa·sa
še[call]V/t	še₂₁-še₂₁	RR	še·še
šed[lie]V/i	še₂₁-še₂₁	rr	še·še
šeg[agree]V/i	še-še	rr	še·še
šeŋ[cook]V/t	šeŋ₆-šeŋ₆	RR	šeŋ·šeŋ
šeŋ[cook]V/t	ši-ši	rr	ši·ši
šeŋ[rain]V/i	šeŋ₃-šeŋ₃	RR	šeŋ·šeŋ
šen[pure]V/i	šen-šen	RR	šen·šen
šer[bright]V/i	še-er-še-er	R′R′	še°er·še°er
šer[weaken]V/t	šir₂-šir₂	rr	šir·šir
šeš[anoint]V/t	šeš₂-šeš₂	RR	šeš·šeš
šeš[anoint]V/t	še₂₂-še₂₂	rr	še·še
šeš[weep]V/t	si-si	rr	si·si
šeš[weep]V/t	še-še	rr	še·še
šeš[weep]V/t	še₂₂-še₂₂	rr	še·še
šeš[weep]V/t	še₈-še₈	rr	še·še
šeš[weep]V/t	šeₓ(|A.IGI|)-šeₓ(|A.IGI|)	rr	še·še
šeš[weep]V/t	šeₓ(|IGI×A|)-šeₓ(|IGI×A|)	rr	še·še
šid[count]V/t	šid-šid	RR	šid·šid
šid[ride]V/t	šed₃-šed₃	rr	šed·šed
šid[ride]V/t	šed₄-šed₄	rr	šed·šed
šid[ride]V/t	šid-šid	RR	šid·šid
ŠU.KAD₄.ŠU.KAD₄[unmng]V/i	|ŠU.KAD₄|-|ŠU.KAD₄|	rr	|ŠU.KAD|·|ŠU.KAD|
šub[fall]V/i	šub-šub	RR	šub·šub
šub[fall]V/i	šub-šub	RR	šub·šub
šub[fall]V/i	šub-šub	RR	šub·šub
šub[fall]V/i	šu₂-šu₂	rr	šu·šu
šum[give]V/t	šum₂-šum₂	RR	šum·šum
šum[slaughter]V/t	šum-šum	RR	šum·šum
šuš[cover]V/t	su₃-su₃	rr	su·su
šuš[cover]V/t	šuš-šuš	RR	šuš·šuš
šuš[cover]V/t	šuš₂-šuš₂	RR	šuš·šuš
šuš[cover]V/t	šu₂-šu₂-šu₂	rrr	šu·šu·šu
tab[begin]V/t	tab-tab	RR	tab·tab
tab[burn]V/t	tab-tab	RR	tab·tab
tab[burn]V/t	tab₂-tab₂	RR	tab·tab
tab[burn]V/t	tab₂-tab₂	RR	tab·tab
tab[double]V/t	tab-tab	RR	tab·tab
tab[flatten]V/t	tab-tab	RR	tab·tab
tab[grasp]V/t	tab-tab	RR	tab·tab
tag[touch]V/t	ta-ta	rr	ta·ta
tag[touch]V/t	tag-ta	Rr	tag·ta
tag[touch]V/t	tag-tag	RR	tag·tag
tah[add]V/t	tah-tah	RR	tah·tah
tahab[soak?]V/t	hab₂-hab₂	rr	hab·hab
taka[abandon]V/t	da-da	rr	da·da
taka[abandon]V/t	tak₄-tak₄	rr	tak·tak
taka[cvve]V/t	tak₄-tak₄	rr	tak·tak
taka[cvve]V/t	tak₄-tak₄	rr	tak·tak
tal[broad]V/i	tal₂-tal₂	RR	tal·tal
tam[clean]V/i	tam-tam	RR	tam·tam
tam[trust]V/t	tam-tam	RR	tam·tam
tar[cut]V/t	tar-tar	RR	tar·tar
te[denigrate]V/t	te-te	RR	te·te
te[denigrate]V/t	ti-ti	rr	ti·ti
te[pierce]V/t	te-te	RR	te·te
teŋ[near]V/i	teŋ₃-teŋ₃	RR	teŋ·teŋ
teŋ[near]V/i	teŋ₄-teŋ₄	RR	teŋ·teŋ
ten[cool]V/i	te-en-te	R′r	te°en·te
ten[cool]V/i	te-en-te-en	R′R′	te°en·te°en
ten[cool]V/i	ten-ten	RR	ten·ten
ten[cool]V/i	ten₂-ten₂	RR	ten·ten
ten[cool]V/i	tenₓ(TE@g)-tenₓ(TE@g)	RR	ten·ten
teš[opposite]V/i	teš₂-teš₂	RR	teš·teš
til[complete]V/i	til-til	RR	til·til
til[live]V/i	til₃-til₃	RR	til·til
tu[cvve]V/t	tu₁₅-tu₁₅	RR	tu·tu
tu[cvve]V/t	tu₁₇-tu₁₇	RR	tu·tu
tu[cvve]V/t	tu₅-tu₅	RR	tu·tu
tu[cvve]V/t	tu₆-tu₆	RR	tu·tu
tub[strike]V/t	tu₁₀-tu₁₀	rr	tu·tu
tub[strike]V/t	tu₁₁-tu₁₁	rr	tu·tu
TUG₂.TUG₂[~seed]V/t	TUG₂-TUG₂	rr	TUG·TUG
tuku[acquire]V/t	du-du	rr	du·du
tuku[acquire]V/t	du-du₁₁	rr	du·du
tuku[acquire]V/t	du₁₂-du₁₂	rr	du·du
tuku[acquire]V/t	tuku-tuku	RR	tuku·tuku
tuku[beat]V/t	tuku₅-tuku₅	RR	tuku·tuku
tuku[rock]V/t	tuku-tuku	RR	tuku·tuku
tuku[rock]V/t	tuku₄-tuku₄	RR	tuku·tuku
tuku[rock]V/t	tuku₄-tuku₄	RR	tuku·tuku
tukur[chew]V/t	tukur₂-tukur₂	RR	tukur·tukur
tum[bring]V/t	tu-tu	rr	tu·tu
tum[bring]V/t	tum₂-tum₂	RR	tum·tum
tum[bring]V/t	tum₃-tum₃	RR	tum·tum
tum[bring]V/t	tum₄-tum₄	RR	tum·tum
tum[carry]V/t	tum₂-tum₂	RR	tum·tum
tum[carry]V/t	tum₃-tum₃	RR	tum·tum
tum[suitable]V/i	tum₂-tum₂	RR	tum·tum
tum[suitable]V/i	tum₂-tum₂-tum₂-tum₂	RRRR	tum·tum·tum·tum
tur[ill]V/i	tur-tur	RR	tur·tur
tur[small]V/i	du₁₃-du₁₃	rr	du·du
tur[small]V/i	tu-tu	rr	tu·tu
tur[small]V/i	tur-tur	RR	tur·tur
tur[small]V/i	tur-tur	RR	tur·tur
tur[small]V/i	tur-tur	RR	tur·tur
tur[small]V/i	tur-tu₂	Rr	tur·tu
tur[small]V/i	tur₇-tur₇	RR	tur·tur
TUR.TUR[soft]V/i	TUR-TUR	rr	TUR·TUR
tuš[sit]V/i	tuš-tuš	RR	tuš·tuš
uʾu[unmng₂]V/i	u₃-u₃	rr	u·u
uʾu[unmng₂]V/i	u₉-u₉	rr	u·u
ug[kill]V/t	ug₇-ug₇	RR	ug·ug
ukur[poor]V/i	ukur₃-ukur₃	RR	ukur·ukur
ul[grind]V/t	ul₄-ul₄	RR	ul·ul
ul[hasten]V/i	ul₄-ul₄	RR	ul·ul
ul[hasten]V/i	ul₄-ul₄	RR	ul·ul
ul[swell]V/i	ul-ul	RR	ul·ul
ur[bake]V/t	ur₅-ur₅	RR	ur·ur
ur[convulsed]V/i	ur-ur	RR	ur·ur
ur[convulsed]V/i	ur₄-ur₄	RR	ur·ur
ur[drag]V/t	ur-ur	RR	ur·ur
ur[drag]V/t	ur₃-ur₃	RR	ur·ur
ur[drag]V/t	ur₄-ur₄	RR	ur·ur
ur[pluck]V/t	ur-ur	RR	ur·ur
ur[pluck]V/t	ur₃-ur₃	RR	ur·ur
ur[pluck]V/t	ur₄-ur₄	RR	ur·ur
ur[pluck]V/t	ur₄-ur₄	RR	ur·ur
ur[roam]V/i	ur₄-ur₄	RR	ur·ur
ur[smell]V/t	ur₅-ur₅	RR	ur·ur
uru[guard]V/t	uru₃-uru₃	RR	uru·uru
us[follow]V/t	us₂-us₂	RR	us·us
uš[die]V/i	uš₂-uš₂	RR	uš·uš
utud[bear]V/t	du₁₀-du₁₀	rr	du·du
utud[bear]V/t	tud-tud	rr	tud·tud
za[cvve]V/t	za-za	RR	za·za
zah[disappear]V/i	sah₆-sah₆	rr	sah·sah
zah[disappear]V/i	zah₃-zah₃	RR	zah·zah
zal[pass]V/t	zal-zal	RR	zal·zal
zal[pass]V/t	zal-zal	RR	zal·zal
zalag[shine]V/i	sulug-sulug	rr	sulug·sulug
zalag[shine]V/i	zalag-zalag	RR	zalag·zalag
zalag[shine]V/i	zalag₂-zalag₂	RR	zalag·zalag
zaza[bow]V/i	za-za	rr	za·za
zi[blink]V/i	zi₂-zi₂	RR	zi·zi
zi[cut]V/t	ze₂-ze₂	rr	ze·ze
zi[cut]V/t	zi-zi	RR	zi·zi
zid[right]V/i	zid-zid	RR	zid·zid
zig[rise]V/i	zi-zi	rr	zi·zi
zig[rise]V/i	zi-zi-zi	rrr	zi·zi·zi
zil[boil]V/t	zil-zil	RR	zil·zil
zil[good]V/i	zil₂-zil₂	RR	zil·zil
zir[break]V/t	zi-ir-zi-ir	R′R′	zi°ir·zi°ir
zir[break]V/t	zi-zi	rr	zi·zi
zir[break]V/t	zi₂-ir-zi₂-ir	R′R′	zi°ir·zi°ir
zir[break]V/t	zi₂-zi₂	rr	zi·zi
zir[slip]V/i	zi-ir-zi-ir	R′R′	zi°ir·zi°ir
zir[slip]V/i	zi₂-ir-zi-ir	R′R′	zi°ir·zi°ir
zu[know]V/t	zu-zu	RR	zu·zu
zuh[steal]V/t	zuh-zuh	RR	zuh·zuh
zukum[tread]V/t	zukum-zukum	RR	zukum·zukum
zur[break]V/t	zur-zur	RR	zur·zur
zur[take care of]V/t	zur-zur	RR	zur·zur
barag[spread]V/t	par₄-par₄-ra-g·e	*rR	par₄°par₄·ra·ge
bir[scatter]V/t	bi-ir-bi-r·e	*RR	bi·ir·bi·re
bur[spread]V/t	bu-ur-bu-r·e	*RR	bu·ur·bu·re
dab[seize]V/t	ta-ṭa₃-b·e₂	*rR	ta°ṭa₃·b·e₂
dan[pure]V/i	dan₃-da-na	*RR	dan₃·da·na
dar[split]V/t	da-ar-da-r·e	*RR	da·ar·da·re
dirig[fall]V/i	dirig-dirig-g·in₇	*RR	dirig·dirig·g·in₇
dugdugurhi[dead]V/i	dug₃-dug₃-ur-hi	*rR	dug₃°dug₃·ur·hi
dugdugurhi[dead]V/i	dug₃-dug₃-ur₂-hi	*rR	dug₃°dug₃·ur₂·hi
durun[sit]V/i	dur₂-dur₂-ru-n·e	*RR	dur₂°dur₂·ru·ne
durun[sit]V/i	dur₂-ru-durun	*RR	dur₂·ru°durun
gal[big]V/i	gu-ul-gu-ul	*RR	gu·ul°gu·ul
gilim[cross]V/t	gi₁₆-il-gi₁₆-il	*RR	gi₁₆·il°gi₁₆·il
guʾuguʾu[unmng]V/t	gu-u₂-gu-u₂	*RR	gu·u₂°gu·u₂
gud[jump]V/t	gud-gu₄-ud	*RR	gud°gu₄·ud
gul[destroy]V/t	gu-ul-gu-l·e	*RR	gu·ul·gu·le
gunu[speckled]V/i	gun₃-gun₃-nu	*rR	gun₃°gun₃·nu
gunu[speckled]V/i	gu₂-un-gu₂	*Rr	gu₂·un°gu₂
gur[turn]V/i	gu-ur-gu-re	*RR	gu·ur°gu·re
guruš[cut]V/t	gur-guru₂₀	*rR	gur°guru₂₀
hir[squeeze]V/t	hir-hir{+ir}	*RR	hir°hir
hubhub[pointed]V/i	hub₂-hu-ub	*RR	hub₂°hu·ub
hul[rejoice]V/i	hul₂-la-hul₂	*RR	hul₂·la°hul₂
hulu[bad]V/i	hu-ul-hu-ul	*RR	hu·ul°hu·ul
kešed[bind]V/t	keš₂-da-keš₂-da	*RR	keš₂·da°keš₂·da
kiŋ[seek]V/t	ke-en-ke	*Rr	ke·en°ke
kiŋ[seek]V/t	ke-en-ke-n·e	*RR	ke·en°ke·ne
kušu[tired]V/i	kuš₂-kuš₂-u₃	*rR	kuš₂°kuš₂·u₃
lib[absent]V/i	lib₄-lib₄	*RR	lib₄°lib₄
mer[cvve]V/t	me-er-me-r·e	*RR	me·er°me·r
mer[cvve]V/t	mi-ir-mi-r·e	*RR	mi·ir°mi·r
mirmi[unmng]V/i	mi-ir-mi	*Rr	mi·ir°mi
paŋ[breathe]V/t	pa-an-pa	*Rr	pa·an°pa
paŋ[breathe]V/t	pa-an-pa-an	*RR	pa·an°pa·an
sig[flatten]V/t	sig₁₀-sig₁₀	RR	sig₁₀°sig₁₀
sig[put]V/t	sig₉-sig₉	RR	sig₉°sig₉
sil[split]V/t	si-il-si-l·e	RR	si·il°si·le
sun[humble]V/i	su-un-su₂-n·e	RR	su·un°su₂·ne
sunsu[unmng]V/i	su₄-un-su₄	*Rr	su₄·un°su₄
šar[mix]V/t	šar₂-šar₂-ra	*rR	šar₂°šar₂·ra
šub[fall]V/i	šub-ba-šub-ba	*RR	šub·ba°šub·ba
šum[give]V/t	šum-ma-šum-ma	*RR	šum·ma°šum·ma
šuš[cover]V/t	šu₂-ur-šu₂-ur	*RR	šu₂·ur°šu₂·ur
ten[cool]V/i	te-en-te-n°e	*RR	te·en°te·n°e
zi[cut]V/t	zi-in-zi-im	RR	zi·in°zi·im
zi[cut]V/t	zi-in-zi-in	RR	zi·in°zi·in
zir[break]V/t	ze₂-er₂-ze₂-r·e	RR	ze₂·er₂°ze₂·re
zir[break]V/t	zi-ir-zi-r·e	RR	zi·ir°zi·re
